N,Agemos,P5,P50,P95
0,0,46,49.7,54.1
0,1,49.7,54.1,58.4
0,2,53.1,56.8,62.1
0,3,56.2,60.7,64.6
0,4,58.8,63.1,67.3
0,5,61.7,65,69.7
0,6,63.6,67.2,71.8
0,7,64.7,69.4,73.2
0,8,65.8,71.2,75
0,9,67.6,72,76.2
0,10,68.5,72.8,77.5
0,11,69.1,73.7,78.2
0,12,69.6,74.7,79.5
0,13,70.4,75.3,80.5
0,14,71.2,75.9,81.5
0,15,72.1,76.6,82.5
0,16,72.7,77.3,83.4
0,17,73.3,78.2,84.3
0,18,74,78.9,85.3
0,19,74.7,79.8,86.6
0,20,75.4,80.7,87.9
0,21,76.1,81.6,89.2
0,22,76.7,82.7,90.1
0,23,77.3,83.9,91
0,24,77.9,85.1,92
0,25,78.4,85.8,93.2
0,26,79,86.5,94.4
0,27,79.6,87.2,95.6
0,28,80.1,87.8,96.4
0,29,80.6,88.4,97.2
0,30,81.1,89.1,98
0,31,81.7,90.1,98.8
0,32,82.3,91.1,100.5
0,33,82.9,92.1,101.1
0,34,83.3,92.4,101.7
0,35,83.7,92.8,102.2
0,36,84.1,93.2,102.7
